title,schoolmate_manageannouncements_9.dot,schoolmate_manageannouncements__title.dot,yes,no,no
message,schoolmate_manageannouncements_9.dot,schoolmate_manageannouncements__message.dot,yes,no,no
title,schoolmate_manageannouncements_18.dot,schoolmate_manageannouncements__title.dot,yes,no,no
message,schoolmate_manageannouncements_18.dot,schoolmate_manageannouncements__message.dot,yes,no,no
announcementid,schoolmate_manageannouncements_18.dot,schoolmate_manageannouncements__announcementid.dot,no,no,no
apoint,schoolmate_header.dot,schoolmate_header__apoint.dot,no,no,no
bpoint,schoolmate_header.dot,schoolmate_header__bpoint.dot,no,no,no
cpoint,schoolmate_header.dot,schoolmate_header__cpoint.dot,no,no,no
dpoint,schoolmate_header.dot,schoolmate_header__dpoint.dot,no,no,no
fpoint,schoolmate_header.dot,schoolmate_header__fpoint.dot,no,no,no
numperiods,schoolmate_header.dot,schoolmate_header__numperiods.dot,no,no,no
numsemesters,schoolmate_header.dot,schoolmate_header__numsemesters.dot,no,no,no
schooladdress,schoolmate_header.dot,schoolmate_header__schooladdress.dot,no,no,no
schoolname,schoolmate_header.dot,schoolmate_header__schoolname.dot,no,no,yes
schoolphone,schoolmate_header.dot,schoolmate_header__schoolphone.dot,no,no,no
sitemessage,schoolmate_header.dot,schoolmate_header__sitemessage.dot,no,no,no
sitetext,schoolmate_header.dot,schoolmate_header__sitetext.dot,no,no,no
semester,schoolmate_manageclasses_25.dot,schoolmate_manageclasses__semester.dot,yes,no,no
periodnum,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__periodnum.dot,yes,no,no
roomnum,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__roomnum.dot,yes,no,no
sectionnum,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__sectionnum.dot,no,no,no
semester,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__semester.dot,yes,no,no
substitute,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__substitute.dot,no,no,no
teacher,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__teacher.dot,yes,no,no
title,schoolmate_manageclasses_28.dot,schoolmate_manageclasses__title.dot,yes,no,no
courseid,schoolmate_manageclasses_83.dot,schoolmate_manageclasses__courseid.dot,no,no,no
